article_id,author,category,number_of_comments,timestamp,title,article_link
477067,هسبريس ـ مُتابعة,art-et-culture,53,الأحد 05 يوليوز 2020 - 08:50,كورونا يسلب حياة الفنانة المصرية رجاء الجداوي,https://www.hespress.com/art-et-culture/477067.html
477374,هسبريس من الرباط,art-et-culture,1,الأربعاء 08 يوليوز 2020 - 07:02,"صلاح بوسريف يصدر ""بيانات في حداثة الكتابة""",https://www.hespress.com/art-et-culture/477374.html
476915,هسبريس - وائل بورشاشن,art-et-culture,12,الاثنين 06 يوليوز 2020 - 04:00,"غياب دعم وزارة الثقافة يدفع فنّاني الشارع إلى ""الاحتجاج الرقمي""",https://www.hespress.com/art-et-culture/476915.html
477380,إبراهيم مغراوي من مراكش,art-et-culture,14,الثلاثاء 07 يوليوز 2020 - 22:07,"صحة عبد الجبار الوزير تتجاوز ""مرحلة الخطر""",https://www.hespress.com/art-et-culture/477380.html
477232,هسبريس من الرباط,art-et-culture,5,الثلاثاء 07 يوليوز 2020 - 06:00,"""بيت ياسين"" يُعيد الشاعر العراقي فاضل العزاوي إلى منزله القديم",https://www.hespress.com/art-et-culture/477232.html
483625,إبراهيم مغراوي من مراكش,faits-divers,24,الأربعاء 09 شتنبر 2020 - 17:15,"محكمة الاستئناف بمراكش تؤجل ملف ""مون بيبي""",https://www.hespress.com/faits-divers/483625.html
483603,هسبريس من الرباط,faits-divers,15,الأربعاء 09 شتنبر 2020 - 11:15,الشرطة القضائية تحقق مع أمنيين من أجل الارتشاء‎,https://www.hespress.com/faits-divers/483603.html
483605,هسبريس - محمد الراجي,faits-divers,31,الأربعاء 09 شتنبر 2020 - 12:00,"حكم قضائي يؤجل سداد قرض بسبب الأضرار الناجمة عن ""كوفيد-19""",https://www.hespress.com/faits-divers/483605.html
483627,عبد الكريم هرواش من النّاظور,faits-divers,5,الخميس 10 شتنبر 2020 - 00:39,"فرار مصاب بـ""كورونا"" يخلق الحدث نواحي النّاظور",https://www.hespress.com/faits-divers/483627.html
483620,هسبريس من الرباط,faits-divers,2,الخميس 10 شتنبر 2020 - 01:15,أجهزة للغش في الامتحانات تقود إلى توقيف شابين,https://www.hespress.com/faits-divers/483620.html
