article_id,author,category,number_of_comments,timestamp,title
481363,حميد رزقي,faits-divers,0,الأحد 16 غشت 2020 - 19:38,"الاتجار بـ""الماحيا"" بالقصيبة يجر شخصين إلى القضاء"
481343,رشيد بيجيكن من أكادير,faits-divers,22,الأحد 16 غشت 2020 - 18:00,مقترف جريمة قتل يسقط في قبضة الأمنيّين بأكادير
481386,حميد رزقي,faits-divers,7,الاثنين 17 غشت 2020 - 01:27,"الغموض يلف مصرع شاب في ""عرس"" بأغبالة"
481369,هسبريس من الناظور ,faits-divers,10,الأحد 16 غشت 2020 - 21:30,الغموض يلفّ جثّة متحلّلة داخل غابةٍ في النّاظور
481364,إبراهيم مغراوي من مراكش,faits-divers,3,الاثنين 17 غشت 2020 - 07:40,توقيف عشرات مخالفي الطوارئ في مراكش والحوز
481404,مصطفى البكار من تزنيت,faits-divers,4,الاثنين 17 غشت 2020 - 14:11,"مياه المحيط الأطلسي تلفظ جثة عشرينية قرب ""أكلو"""
481328,رشيد بيجيكن من أكادير,faits-divers,15,الاثنين 17 غشت 2020 - 04:40,تحقيق قضائي يبعد قائدا عن العمل في آيت ملول
481361,إبراهيم مغراوي من مراكش,faits-divers,0,الاثنين 17 غشت 2020 - 05:19,سرقة موصوفة تحيل شخصين على محكمة مراكش
481419,مصطفى البكار من تزنيت,faits-divers,0,الاثنين 17 غشت 2020 - 14:13,"مخدر ""طابا"" يقود الدرك إلى توقيف شخصين بتزنيت"
481429,هسبريس من الرباط,faits-divers,0,الاثنين 17 غشت 2020 - 17:10,"تنظيم ""الهجرة السرية"" يورّط 3 أشخاص بالجديدة"
481426,هسبريس من الرباط,faits-divers,9,الاثنين 17 غشت 2020 - 15:25,"مديرية الأمن توضح حقيقة اختطاف ""مروة"" بالبيضاء"
481452,حميد رزقي,faits-divers,5,الاثنين 17 غشت 2020 - 20:01,"شبهة ""قتل تلميذ"" بأغبالة تجر قاصرا إلى القضاء"
481417,هسبريس من الرباط,faits-divers,1,الثلاثاء 18 غشت 2020 - 01:23,"حجز شحنة من مخدر ""الشيرا"" ضواحي مدينة أكادير"
481494,هسبريس من طنجة,faits-divers,10,الثلاثاء 18 غشت 2020 - 12:10,"مداهمة تسقط مروّج كحول و""سليسيون"" في طنجة"
481427,صالح الخزاعي من خريبكة,faits-divers,11,الاثنين 17 غشت 2020 - 21:18,اعتداءات متكررة تُغضب سائقي طاكسيات خريبكة
481500,مصطفى البكار من تزنيت,faits-divers,7,الثلاثاء 18 غشت 2020 - 14:10,"النيران تلتهم ""مخيم المهاجرين"" وسط مدينة تزنيت"
476051,صالح الخزاعي من خريبكة,marocains-du-monde,27,الخميس 25 يونيو 2020 - 18:28,مغاربة بإيطاليا يطالبون بتسهيل العودة إلى البلاد
476054,هسبريس من الرباط,marocains-du-monde,30,الجمعة 26 يونيو 2020 - 07:00,"""مجلس الجالية"" يرصد أشكال التمييز ضد الشباب المغربي بأوروبا"
476083,هسبريس - متابعة,marocains-du-monde,22,الخميس 25 يونيو 2020 - 20:28,"مصرع مغربية وطفليها في ""انهيار شرفة"" بإيطاليا"
475978,هسبريس من الرباط,marocains-du-monde,17,الخميس 25 يونيو 2020 - 03:52,"الوفي تُطلق برنامجًا لتعبئة ""كفاءات مغاربة العالم"""
476142,هسبريس - أمال كنين,marocains-du-monde,13,السبت 27 يونيو 2020 - 07:45,"قضية اختفاء مغربيات في ""الهول"" تصل البرلمان‬"
476234,هسبريس - أمال كنين,marocains-du-monde,6,الأحد 28 يونيو 2020 - 09:23,المتاجرة بأطفال مغاربة في سوريا تعود إلى الواجهة‎
476354,هسبريس ـ مصطفى شاكري,marocains-du-monde,24,الاثنين 29 يونيو 2020 - 11:00,"قضية مقتل ""جورج فلويد المغربي"" تصل إلى قبة البرلمان الإسباني‎"
476138,هسبريس - وائل بورشاشن,marocains-du-monde,111,السبت 27 يونيو 2020 - 16:00,التمييز يواجه الشباب المغربي في دول أوروبا .. العمل والسكن والدين
476553,هسبريس من الرباط,marocains-du-monde,86,الثلاثاء 30 يونيو 2020 - 14:00,المغرب يزيد وتيرة الرحلات الجوية الاستثنائية لإعادة العالقين بالخارج‬
476608,هسبريس من واشنطن,marocains-du-monde,44,الأربعاء 01 يوليوز 2020 - 00:00,مغاربة عالقون في أمريكا يتطلعون إلى موعد العودة إلى المملكة
476685,هسبريس – نورالدين إكجان,marocains-du-monde,20,الأربعاء 01 يوليوز 2020 - 16:00,"شكاوى مقتل ""فلويد المغربي"" تتحول إلى احتجاجات بألميريا الإسبانية"
476577,هسبريس من الرباط,marocains-du-monde,38,الأربعاء 01 يوليوز 2020 - 13:00,"صور ""درون"" يونانية تجهض أحلام ""حراكة مغاربة"" في بلوغ أوروبا‬"
476589,هسبريس - محمد الراجي,marocains-du-monde,52,الأربعاء 01 يوليوز 2020 - 08:00,"عشرات الآلاف من ""المغاربة العالقين"" يغادرون إلى دول المهجر"
476684,هسبريس من الرباط,marocains-du-monde,13,الخميس 02 يوليوز 2020 - 01:15,آخر المغاربة العالقين في اليابان يعودون إلى الوطن‎
476694,هسبريس من الرباط,marocains-du-monde,35,الخميس 02 يوليوز 2020 - 08:35,"""مرصد الشمال"" ينتقد إلغاء الحكومة ""عملية مرحبا"""
476767,هسبريس من الرباط,marocains-du-monde,12,الخميس 02 يوليوز 2020 - 17:31,مغاربة عالقون في تونس يتشبثون بالعودة إلى الوطن
476843,هسبريس - محمد الراجي,marocains-du-monde,22,الجمعة 03 يوليوز 2020 - 07:00,"شكاوى ""التمييز"" ضد مئات المهاجرين المغاربة تلاحق حكومة مدريد"
476689,هسبريس من الرباط,marocains-du-monde,62,الخميس 02 يوليوز 2020 - 09:00,استمرار إغلاق الحدود الجوية يعمق معاناة مغاربة عالقين في الجزائر‎
476806,هسبريس من الرباط,marocains-du-monde,14,الجمعة 03 يوليوز 2020 - 00:00,"ضعف التّنسيق بين المغرب وإسبانيا يؤزّم وضعية ""عاملات الفراولة"""
478725,هسبريس من شفشاون,art-et-culture,15,الثلاثاء 21 يوليوز 2020 - 10:10,"""بنات للامنانة"" يروّجن لزيارة مدينة شفشاون"
478804,أيوب صدور من تطوان,art-et-culture,0,الأربعاء 22 يوليوز 2020 - 00:30,دراسة تغوص في شعر النقوش بقصور الحمراء
478537,هسبريس من الرباط,art-et-culture,4,الثلاثاء 21 يوليوز 2020 - 03:55,"كوكاس يصر على مداعبة ""أحلام المغاربة"" غير منتهية الصلاحية"
478834,هسبريس من الرباط,art-et-culture,6,الأربعاء 22 يوليوز 2020 - 04:00,"مسرحيّون يحرّرون أب الفنون من ""الأدب"" وتأثيرات ""مسرح أرسطو"""
478958,هسبريس - محمد الراجي,art-et-culture,13,الخميس 23 يوليوز 2020 - 03:45,"الفن يتحدى تداعيات جائحة ""كوفيد - 19"" في منتدى أصيلة الثقافي"
478828,محمد بنعزيز,art-et-culture,3,السبت 25 يوليوز 2020 - 04:45,"فيلم عن الأدب .. تسلية ثقيلة في السينما و""ملاذ آمن"" زمن الحرب"
479257,عزيز لعويسي,art-et-culture,0,الأحد 26 يوليوز 2020 - 06:01,"""أرشيف المغرب"" تنشر فهرس ""بروسبير ريكار"""
478577,هسبريس - أمال كنين,art-et-culture,7,الجمعة 24 يوليوز 2020 - 03:45,"مغربية عالقة في إسبانيا تحوّل محنة ""كوفيد-19"" إلى لوحات فنية"
478909,هسبريس من الرباط,art-et-culture,0,الخميس 23 يوليوز 2020 - 03:50,"مجلة ""بيت الشعر"" تُفرد عددًا خاصّا بأمجد ناصر"
478896,هسبريس - وائل بورشاشن,art-et-culture,25,الخميس 23 يوليوز 2020 - 10:33,"شبهة ""سرقات علمية"" تلاحق أستاذا جامعيا مغربيا"
479245,هسبريس - وائل بورشاشن,art-et-culture,29,الأحد 26 يوليوز 2020 - 04:00,"اللعبي: الحصول على ""جواز فلسطيني"" أمنيّةٌ .. ولا عتاب على الأحبّة"
479109,هسبريس من الرباط,art-et-culture,31,السبت 25 يوليوز 2020 - 07:16,فنانو فضاءات الفنادق والمطاعم يشكون العطالة
479262,هسبريس من الرباط,art-et-culture,8,الأحد 26 يوليوز 2020 - 20:50,مؤسسة تنادي بتصنيف أزمور تراثا إنسانيا عالميا
479758,هسبريس من الرباط,art-et-culture,1,الجمعة 31 يوليوز 2020 - 10:36,"يحيى يخلف يصدر رواية ""الريحانة والديك المغربي"""
479638,هسبريس من الرباط,art-et-culture,0,الخميس 30 يوليوز 2020 - 08:15,"محسن البطيوي يُطْلق ""شعب الخير"" من بريطانيا"
479489,هسبريس من الرباط,art-et-culture,1,الثلاثاء 28 يوليوز 2020 - 12:51,"""الشارقة"" تعلن الفائزين بمنحة إنتاج الأفلام القصيرة‎"
478384,محمد أديب السلاوي,art-et-culture,5,الأحد 02 غشت 2020 - 00:45,هكذا رصعت اللوحة التشكيلية جداريات الإبداع البصري في المغرب
479352,هسبريس - وائل بورشاشن ,art-et-culture,8,الاثنين 27 يوليوز 2020 - 01:25,"المتاحف تستعدّ لاستقبال محبّي الثقافة والفنون بـ""نَفَسٍ مغربيّ"""
479485,عبد اللطيف أبي القاسم,art-et-culture,6,الثلاثاء 28 يوليوز 2020 - 21:41,"بعد جراحة ناجحة .. مغاربة لخليفة: ""سلامة قلبك"""
475473,هسبريس من الرباط,marocains-du-monde,117,السبت 20 يونيو 2020 - 12:10,السلطات المغربية تبرمج رحلات لإجلاء العالقين من عدة دول بالعالم
475663,هسبريس - مصطفى شاكري,marocains-du-monde,4,الاثنين 22 يونيو 2020 - 03:30,الشايب: احتجاجات العنصرية في أمريكا أحْيت قضية مقتل الطاهري‎
475590,هسبريس من الرباط,marocains-du-monde,67,الأحد 21 يونيو 2020 - 15:00,"مطار ""أكادير المسيرة"" يستقبل 20 رحلة للمغاربة العالقين بالخارج"
475666,هسبريس - مصطفى شاكري,marocains-du-monde,4,الاثنين 22 يونيو 2020 - 02:00,"العجوطي: ""قضية الطاهري"" شجرة تخفي غابة الاعتداء على القاصرين‎"
475667,هسبريس - مصطفى شاكري,marocains-du-monde,13,الاثنين 22 يونيو 2020 - 05:00,"الهيني ينتقد تطبيق ""بروتوكول التقييد"" في مراكز القاصرين بإسبانيا‎"
475604,هسبريس من الرباط,marocains-du-monde,18,الاثنين 22 يونيو 2020 - 08:23,"""وزارة الجالية"" تجيب آلاف مراسلات مغاربة العالم"
475709,هسبريس - و.م.ع,marocains-du-monde,3,الثلاثاء 23 يونيو 2020 - 02:20,مغاربة عالقون بتونس يعودون إلى أرض الوطن
475722,هسبريس من الرباط,marocains-du-monde,148,الاثنين 22 يونيو 2020 - 16:30,"بوريطة يعلن عدم تنظيم ""عملية مرحبا"" هذه السنة"
475670,هسبريس - مصطفى شاكري,marocains-du-monde,38,الاثنين 22 يونيو 2020 - 06:10,"الخياري: ""التعذيب الممنهج"" يستهدف قاصرين مغاربة في إسبانيا"
