article_id,author,category,number_of_comments,timestamp,title
478653,هسبريس - محمد بلقاسم,politique,(64),الاثنين 20 يوليوز 2020 - 14:00,أحزاب تستعد لإعادة الشيوخ إلى البرلمان من باب لائحة الكفاءات
478674,هسبريس من الرباط,regions,(5),الاثنين 20 يوليوز 2020 - 17:39,ندرة مرافق الترفيه تؤرق سكان جهة درعة تافيلات‬
478670,هسبريس من الرباط,regions,(2),الاثنين 20 يوليوز 2020 - 16:05,ترجيست تتعزز بمشروع بناء مركز لتصفية الدم
478714,رشيد الكويرتي من فاس,regions,(3),الاثنين 20 يوليوز 2020 - 21:31,"تسجيل 62 إصابة جديدة بـ""كورونا"" في جهة فاس"
478694,هسبريس من الرباط,regions,(50),الاثنين 20 يوليوز 2020 - 18:50,جهة طنجة تسجل 181 إصابة بفيروس كورونا في ظرف يوم واحد
478718,هسبريس من الدار البيضاء,regions,(8),الاثنين 20 يوليوز 2020 - 22:40,"""كورونا"" يغلق مقر الكونفدرالية الديمقراطية للشغل"
478715,رشيد بيجيكن من أكادير,regions,(2),الاثنين 20 يوليوز 2020 - 22:41,"جهة سوس تحصي إصابتين جديدتين بـ""كوفيد-19"""
478667,هسبريس من الرباط,regions,(14),الاثنين 20 يوليوز 2020 - 18:20,"قنطرة تسهّل السير بـ""أوطوروت"" الرباط والبيضاء"
478726,إبراهيم مغراوي من مراكش,regions,(2),الاثنين 20 يوليوز 2020 - 23:40,هذه تفاصيل الحالة الوبائية بجهة مراكش - آسفي
478671,هسبريس من الرباط,regions,(0),الثلاثاء 21 يوليوز 2020 - 02:17,محطة المسافرين تخضع للتعقيم بمدينة تارجيست
478661,هسبريس من الرباط,regions,(0),الثلاثاء 21 يوليوز 2020 - 04:16,"هذه توقعات ""الأرصاد الجوية"" لطقس اليوم الثلاثاء"
478701,هسبريس من الرباط,regions,(5),الثلاثاء 21 يوليوز 2020 - 01:24,"جمعويون يخشون مخاطر صحية بمجزرة ""ترميكت"""
478700,هسبريس من الدار البيضاء,regions,(11),الثلاثاء 21 يوليوز 2020 - 06:35,"تلاميذ أحياء شعبية يتصدرون ""متوجي الباكالوريا"""
478728,هسبريس من تطوان,regions,(9),الثلاثاء 21 يوليوز 2020 - 11:05,"""كوفيد-19"" يصيب طبيبا بمستعجلات مشفى تطوان"
478740,محمد ايت حساين,regions,(2),الثلاثاء 21 يوليوز 2020 - 12:05,التحاليل تكشف إصابتين جديدتين بالجائحة في ميدلت
478747,هسبريس من الرباط,regions,(20),الثلاثاء 21 يوليوز 2020 - 13:10,"""أونسا"" ينزع حلقات العيد عن أغنام بجماعة لغوالم‎"
478110,محمد ايت حساين,regions,(11),الثلاثاء 21 يوليوز 2020 - 13:00,"تداعيات جائحة ""كورونا"" تخيم على القطاع السياحي في إقليم تنغير"
478569,هسبريس من الرباط,societe,(44),الاثنين 20 يوليوز 2020 - 07:00,"أزمة ""كورونا"" تجهض أحلام عشرات المغاربة في الهجرة إلى كندا"
478567,هسبريس - مصطفى شاكري ,societe,(41),الاثنين 20 يوليوز 2020 - 02:00,"أخبار الطلاق تنتشر في ""زمن كورونا"" أمام غياب الأرقام الرسمية"
478553,هسبريس - أمال كنين,societe,(30),الاثنين 20 يوليوز 2020 - 09:16,أولياء تلاميذ: مدارس خاصة تنتهك حقوق الأطفال
478598,هسبريس - محمد الراجي,societe,(10),الاثنين 20 يوليوز 2020 - 10:00,"دليل معرفي يرسم ""خارطة طريق"" للخروج السريع من أزمة كورونا"
478684,هسبريس من الرباط,societe,(60),الاثنين 20 يوليوز 2020 - 18:10,المغرب يسجل 326 إصابة جديدة مؤكدة بكورونا خلال 24 ساعة
478625,هسبريس من الرباط,societe,(2),الاثنين 20 يوليوز 2020 - 10:40,وزارة التربية تعلن حصيلة تعميم التعليم الأولي‎
478642,هسبريس - محمد الراجي,societe,(46),الاثنين 20 يوليوز 2020 - 16:00,"عقوبات تأديبية تؤجج مخاوف قضاة المغرب من ""الهشاشة المهنية"""
478695,هسبريس من الرباط,societe,(0),الاثنين 20 يوليوز 2020 - 19:10,عقد 392 جلسة وإدراج 7006 قضايا في 5 أيام
478689,هسبريس - عبد الرحيم العسري,societe,(109),الاثنين 20 يوليوز 2020 - 19:10,ثلاثة سيناريوهات تستبق الدخول المدرسي المقبل في زمن كورونا
478668,هسبريس - مصطفى شاكري,societe,(5),الاثنين 20 يوليوز 2020 - 21:30,"مضامين قانون المالية المُعدل تُخرج ""الجبهة الاجتماعية"" للاحتجاج‬"
478704,هسبريس- عبد الإله شبل,societe,(9),الاثنين 20 يوليوز 2020 - 22:15,"""الطاقة الاستيعابية"" تربك مهنيي النقل العمومي"
478721,هسبريس من الرباط,societe,(4),الاثنين 20 يوليوز 2020 - 23:10,استقالات من هيئة الأطباء تثير استنكارًا نقابيًّا
478685,هسبريس - محمد الراجي (صور: سفيان بالكوري),societe,(68),الاثنين 20 يوليوز 2020 - 23:13,المهدوي: أنا مَلَكي حتى النخاع.. وواجهتُ قسوة السجن بشجاعة
478706,هسبريس - وائل بورشاشن,societe,(2),الثلاثاء 21 يوليوز 2020 - 03:03,"جمعيات تطالب البرلمان بـ""تشريعات عاجلة"" للأوبئة"
478697,هسبريس من الرباط,societe,(10),الثلاثاء 21 يوليوز 2020 - 07:00,"""مخاوف كورونا"" ترافق قرار رفع عدد مسافري الحافلات قُبيل العيد"
